Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",603,2,10u,
"C10, C11, C6, C7",603,4,0.1uf,
C2,603,1,470pF,
C3,805,1,2.2uF,
"C5, C8",603,2,10uF,
C9,603,1,1uf,
D1,D_SMA,1,SS34,
"H1, H2, H3, H4",MountingHole_2.2mm_M2_ISO7380_Pad,4,MountingHole,
IC1,SOIC127P600X175-9N,1,TP4056,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J2,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,1, B2B-PH-SM4-TB(LF)(SN) ,
J3,24LCDILI9341,1,Conn_01x18_Socket,
J4,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Stemma,
LED1,603,1,POW_LED,
"LED2, LED3",603,2,CHG,
Q1,SOT-23,1,S8050,
R1,603,1,470R,
"R10, R11, R12, R14, R9",603,5,10k,
"R13, R7, R8",603,3,1k,
R15,805,1,10R,
"R16, R17, R18, R19, R20",603,5,4.7k,
"R2, R3",603,2,1.3K,
"R4, R5, R6, U1",603,4,100K,
Rprog1,603,1,3.3K,
SD1,microSD_TF-01A-C91145,1,microSD_TF-01A,
SW1,slide switch spdt,1,K3-1280S-F1 ,
"SW2_4, SW2_3, SW2_2",PTS645SL43SMTR92LFS,3,SW_SPST,
"SW2, SW3, SW4, SW5, SW6",Tactile 3x4x2mm TS-A010,5,TS-1088R-02526 ,
U2,SOT-23,1,AO3401,
U3,SOT-23-5,1,MIC5219-3.3YM5,
U4,ESSOP-10_3.9x4.9mm_P1.00mm,1,ch340k,
U5,SOT-363_SC-70-6,1,2N7002DW,
U6,ESP32-WROVER-E,1,ESP32-WROVER-E,
U7,ESP32-WROOM-32E,1,ESP32-WROOM-E,
U8,MLX90640,1,MLX90640,
